"Nom","Identifiant","Type","Sous-type","Sous-type","Commune","Code postal","Code INSEE","Département","Région","Latitude","Longitude","Site internet","Créateur","Mise à jour","Mise à jour DATAtourisme"
"Terra Aventura : ""Prieur de ne pas déranger""","ASCAQU033V50RF1V","Produit","Pratique",,"Gradignan","33170","33192","Gironde","Nouvelle-Aquitaine","44.77897","-0.60953",,"OT Bordeaux Métropole","2026-01-06T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : ""Des couleurs pour ma cayenne""","ASCAQU033V50RF4V","Produit","Pratique",,"Biganos","33380","33051","Gironde","Nouvelle-Aquitaine","44.6432919","-0.9977887","https://www.terra-aventura.fr/","Office de Tourisme Coeur du Bassin d'Arcachon","2026-03-05T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura : Jusqu'à la fin des Terres","ASCAQU033V50RMDL","Produit","Pratique",,"Soulac-sur-Mer","33780","33514","Gironde","Nouvelle-Aquitaine","45.5142921","-1.1234268","https://www.terra-aventura.fr/","OT Médoc Atlantique","2026-01-06T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : Suivez le goupil","ASCAQU024V50D5XP","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs","Pratique libre","Saint Aulaye-Puymangou","24410","24376","Dordogne","Nouvelle-Aquitaine","45.2033089","0.13585949","https://www.perigord-inattendu.fr/","Val de Dronne","2026-01-01T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Séjour Terra Aventura décarbonné","OP031AQU040V50YVQR","Produit",,,"Messanges","40660","40181","Landes","Nouvelle-Aquitaine","43.797099","-1.3818548","https://www.loupignada.com/fr,https://www.loupignada.com/fr?utm_source=landesatlantiquesud.com&utm_medium=affiliate&utm_campaign=partenariat-payant,https://www.loupignada.com/fr,https://www.loupignada.com/fr?utm_source=landesatlantiquesud.com&utm_medium=affiliate&utm_campaign=partenariat-payant","CDT 40","2025-12-02T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura : Logeons-nous dans les bois","ASCAQU087V5020IZ","Produit","Pratique",,"Saint-Priest-sous-Aixe","87700","87177","Haute-Vienne","Nouvelle-Aquitaine","45.8143049","1.0742177","https://www.terra-aventura.fr/caches/logeons-nous-dans-les-bois","OT Val de Vienne","2025-01-21T00:00:00.000Z","2026-07-03T02:18:24.780Z"
"Tèrra Aventura : Sorcières sur l'Adour","ASCAQU040V50TNK7","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs",,"Aire-sur-l'Adour","40800","40001","Landes","Nouvelle-Aquitaine","43.7444438","-0.2015254",,"Tourisme Aire Eugénie","2026-02-04T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura - Les-Touches-de-Périgny","6195788","Lieu","Site sportif, récréatif et de loisirs",,"Les Touches-de-Périgny","17160","17451","Charente-Maritime","Nouvelle-Aquitaine","45.901567","-0.274033","https://www.terra-aventura.fr/","Office de Tourisme des Vals de Saintonge","2026-04-27T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura ""Attention à la marche...""","ASCAQU040V50TUZH","Produit","Pratique",,"Cazères-sur-l'Adour","40270","40080","Landes","Nouvelle-Aquitaine","43.76086","-0.31695",,"OT Grenade","2024-11-17T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Tèrra Aventura : Poussez la Chan'Sonnette","ASCAQU086V500672","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs","Pratique libre","Lizant","86400","86136","Vienne","Nouvelle-Aquitaine","46.0839718","0.27950098","https://www.terra-aventura.fr/parcours","Office de Tourisme de Civraisien en Poitou","2026-07-13T00:00:00.000Z","2026-07-14T02:09:57.737Z"
"Tèrra Aventura : Les Nouveaux Z'Ingénieurs","ASCAQU086V50041L","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs","Pratique libre","L'Isle-Jourdain","86150","86112","Vienne","Nouvelle-Aquitaine","46.240293","0.684276","http://www.sudviennepoitou.com/,https://www.terra-aventura.fr/parcours","Office de Tourisme Sud Vienne Poitou","2026-06-16T00:00:00.000Z","2026-06-27T02:27:42.246Z"
"Tèrra Aventura : L’Admirateur Secret","ASCAQU086V50041P","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs","Pratique libre","Montmorillon","86500","86165","Vienne","Nouvelle-Aquitaine","46.4265894","0.8711133","http://www.sudviennepoitou.com/,https://www.terra-aventura.fr/parcours","Office de Tourisme Sud Vienne Poitou","2026-08-09T00:00:00.000Z","2026-08-10T02:03:58.061Z"
"Tèrra Aventura : À Vienne que pourra !","ASCAQU086V50041G","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs","Pratique libre","Availles-Limouzine","86460","86015","Vienne","Nouvelle-Aquitaine","46.1219804","0.6552246","http://www.sudviennepoitou.com/,https://www.terra-aventura.fr/parcours","Office de Tourisme Sud Vienne Poitou","2026-08-09T00:00:00.000Z","2026-08-10T02:03:58.061Z"
"Tèrra Aventura : La Grande Buée","ASCAQU086V50069P","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs","Pratique libre","Moncontour","86330","86161","Vienne","Nouvelle-Aquitaine","46.88148","-0.0184","https://www.terra-aventura.fr/parcours","Office de Tourisme du Pays Loudunais","2026-06-16T00:00:00.000Z","2026-06-17T03:11:07.693Z"
"Tèrra Aventura : Les Z'Animaux Fantastiques","ASCAQU086V50066T","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs","Pratique libre","Civray","86400","86078","Vienne","Nouvelle-Aquitaine","46.149276","0.296815","https://www.terra-aventura.fr/parcours","Office de Tourisme de Civraisien en Poitou","2026-07-13T00:00:00.000Z","2026-07-14T02:09:57.736Z"
"Tèrra Aventura : D'Inspiration Médiévale","ASCAQU086V500670","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs","Pratique libre","Gençay","86160","86103","Vienne","Nouvelle-Aquitaine","46.374538","0.403719","https://www.terra-aventura.fr/parcours","Office de Tourisme de Civraisien en Poitou","2026-07-13T00:00:00.000Z","2026-07-14T02:09:57.737Z"
"Tèrra Aventura : Les Raisins de la Folie","ASCAQU086V50069R","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs","Pratique libre","Curçay-sur-Dive","86120","86090","Vienne","Nouvelle-Aquitaine","47.01293","-0.05781","https://www.terra-aventura.fr/parcours","Office de Tourisme du Pays Loudunais","2026-06-16T00:00:00.000Z","2026-06-27T02:27:42.240Z"
"Tèrra Aventura : Les  Nouveaux Z'Ingénieurs","ASCAQU086V5005UF","Produit","Pratique","Pratique libre","Le Vigeant","86150","86289","Vienne","Nouvelle-Aquitaine","46.240293","0.684276","http://www.sudviennepoitou.com/","Office de Tourisme Sud Vienne Poitou","2026-03-28T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Parcours exclusif Tèrra Aventura","FMAAQU086V502N3X","Fête et manifestation","Évènement culturel,Évènement sports et loisirs,Evènement social","Evènement jeune public,Animation locale,Fête traditionnelle","Monts-sur-Guesnes","86420","86167","Vienne","Nouvelle-Aquitaine","46.92051","0.21119",,"Office de Tourisme du Pays Loudunais","2026-07-02T00:00:00.000Z","2026-07-03T23:31:39.300Z"
"Tèrra Aventura ""Escal' en Jall'""","ASCAQU033V51AZAK","Produit","Pratique",,"Saint-Médard-en-Jalles","33160","33449","Gironde","Nouvelle-Aquitaine","44.895295","-0.7181",,"OT Bordeaux Métropole","2026-03-05T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : La Complainte du Tulipier","ASCAQU040V50KC6T","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs",,"Ychoux","40160","40332","Landes","Nouvelle-Aquitaine","44.3304883","-0.9751561","https://www.terra-aventura.fr/","OT Grands Lacs","2024-11-17T00:00:00.000Z","2026-06-27T02:27:42.241Z"
"Terra Aventura : ""De l'Amazonie dans l'Eyre""","ASCAQU033V50TB0V","Produit","Pratique",,"Mios","33380","33284","Gironde","Nouvelle-Aquitaine","44.6048686","-0.9422694","https://www.terra-aventura.fr/","Office de Tourisme Coeur du Bassin d'Arcachon","2026-03-05T00:00:00.000Z","2026-01-01T00:00:00.000Z"
"Terra Aventura : Ribérac la Contemporaine","ASCAQU024V50FCBK","Produit,Lieu","Pratique,Site sportif, récréatif et de loisirs","Pratique libre","Ribérac","24600","24352","Dordogne","Nouvelle-Aquitaine","45.2479975","0.33828667","https://www.perigord-inattendu.fr/","Val de Dronne","2026-01-01T00:00:00.000Z","2026-01-01T00:00:00.000Z"
